,스토리지(infotrend),,\\172.16.1.62\files\\indata_drving\,스냅샷을 위해서 전체포맷 예정,,,,,,,,,,,,,,,,,,
,폴더명,,설명,비고,,,,,,,,,,,,,,,,,,
,01_DrivingPlate_Library_h265,,드라이빙플레이트 H265 모음,260203 기준 80개 보유,,,,,,,,,,,,,,,,,,
,02_DrivingPlate_Library_nclc,,드라이빙플레이트 NotchLC 모음,260203 기준 80개 보유,,,,,,,,,,,,,,,,,,
,11_AME_Watch,,Adobe Media Encoder 감시폴더,,,,,,,,,,,,,,,,,,,
,12_AME_Output,,Adobe Media Encoder 변환폴더,,,,,,,,,,,,,,,,,,,
,스토리지(Qumulo),,\\172.16.1.31\files\\indata\2_DrivingPlate,,,,,,,,,,,,,,,,,,,
,폴더명,,설명,비고,,,,,,,,,,,,,,,,,,
,01_DrivingPlate_Original,,드라이빙플레이트 원본소스,,,,,,,,,,,,,,,,,,,
,01_DrivingPlate_Test Source,,드라이빙 테스트 촬영 소스,,,,,,,,,,,,,,,,,,,
,02_DrivingPlate_ing,,드라이빙 파일 분류 및 컨버팅 작업용,,,,,,,,,,,,,,,,,,,
,03_DrivingPlate_Library_h265,,드라이빙플레이트 H265 모음,,,,,,,,,,,,,,,,,,,
,02_DrivingPlate_Library_nclc,,드라이빙플레이트 NotchLC 모음,55tb 임시 백업 진행중,,,,,,,,,,,,,,,,,,
,05_DrivingPlate_SW,,"LUT,파일일괄변경,개발툴 등",,,,,,,,,,,,,,,,,,,
,06_DrivingPlate_Multiview,,멀티뷰어 보관,1 보유소스 멀티뷰어 전체제작(frame.io&youtube),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
번호,04_DrivingPlate_Library 보유 현황,,촬영 및 LUT,영상길이,편집가능시간대,편집 진행사항,"리플렉션
소스","특이사항
(모든 소스 3분이내로 분리 편집 필요)",사용 프로젝트,시간대,소스 내용,멀티뷰어 현황,작업 진행사항,,,,,,,,,
1,220526_D_영종대교_60p,709,트윈픽스(709),0:02:52,,,TOP,,Appa's Diner,낮,,220526_D_영종대교_60p,유튜브 업로드 완료,,,,,,,,,
2,220728_D_화성시 우정읍 조암리 산64_60p,709,트윈픽스(709),0:04:10,,,TOP,,프로보노,낮,,220728_D_화성시 우정읍 조암리 산64_60p,유튜브 업로드 완료,,,,,,,,,
3,220828_D_삼성역사거리_신호대기_좌회전_60p,709,트윈픽스(709),0:01:57,,,TOP,,"Appa's Diner
포핸즈_260225",낮,,220828_D_삼성역사거리_신호대기_좌회전_60p,,,,,,,,,,
4,220926_MH_동부간선도로_수서_MH_60p,709,트윈픽스(709),0:01:55,,,TOP,,,매직아워,,220926_MH_동부간선도로_수서_MH_60p,,,,,,,,,,
5,221114_D_올림픽대교_60p,709,트윈픽스(709),0:02:12,,,TOP,"주변 가을 단풍
10,2시 소스 없음",Appa's Diner,낮,,221114_D_올림픽대교_60p,유튜브 업로드 완료,,,,,,,,,
6,221225_N_강남역_도산대로_60p,709,트윈픽스(709),0:07:23,,,TOP,"10,2시 소스 없음
퀄리티 너무 안좋음>422LT 재랜더 하는중",최애의 사원_260224(탈락),밤,,221225_N_강남역_도산대로_60p,유튜브 업로드 완료,,,,,,,,,
7,230708_N4_남부순환로_60p,709,트윈픽스(709),0:03:37,,,TOP,"10,2시 소스 없음
-8시 소스가 3t로 되어있음!!","언더커버미스홍
내일도출근",밤,"서울 6차선거리 도심 밤을 3:30동안 안쉬고 달림
시흥IC>봉천역","230708_N4_남부순환로_60p
재작업필요",유튜브 업로드 완료,,,,,,,,,
8,231126_N1_일주서로_60p,709,트윈픽스(709),0:07:17,,,TOP,"10,2시 소스 없음
","내일도출근
언더커버미스홍
뜨거운안녕
포핸즈_260225",밤,,231126_N1_일주서로_60p,유튜브 업로드 완료,,,,,,,,,
9,240324_D2_도곡로_60p,709,트윈픽스(709),0:02:42,,,TOP,,"뜨거운안녕
내일도출근
최애의 사원_260224
포핸즈_260225",낮,,240324_D2_도곡로_60p,유튜브 업로드 완료,,,,,,,,,
10,240528_D_세종대로_주행_신호대기_60p,709,트윈픽스(709),0:02:11,,,TOP,,프로보노,낮,,240528_D_세종대로_주행_신호대기_60p,유튜브 업로드 완료,,,,,,,,,
11,240602_D_천호대로_60p,709,트윈픽스(709),0:01:35,,,TOP,,"내일도출근
얄미운사랑
포핸즈_260225",낮,,240602_D_천호대로_60p,유튜브 업로드 완료,,,,,,,,,
12,240609_MH_경수대로60p,709,트윈픽스(709),0:03:30,,,TOP,,"내일도출근
포핸즈_260225",매직아워,,240609_MH_경수대로_60p,유튜브 업로드 완료,,,,,,,,,
13,240913_N_남부순환로_주행_신호대기_주행_60p,709,트윈픽스(709),0:03:45,,,TOP,,,밤,,240913_N_남부순환로_주행_신호대기_주행_60p,유튜브 업로드 완료,,,,,,,,,
14,250220_D1_동작대교_상행_24p,D-log,DS15(709),0:02:59,,,360,"8번없어서 7번으로 대체
60p 프레임보간 작업필요",,낮,,250220_D1_??????????_??????_24p,유튜브 업로드 완료,,,,,,,,,
15,250220_D2_동작대교_하행_24p,D-log,DS15(709),0:02:33,,,360,"8번없어서 7번으로 대체
대교에서 지하철과 같이 주행
60p 프레임보간 작업필요",,낮,,250220_D2_??????????_?????_24p,유튜브 업로드 완료,,,,,,,,,
16,250220_D5_올림픽대로_24p,D-log,DS15(709),0:05:30,,,360,"360소스 5분30초 이후 블랙
60p 프레임보간 작업필요",뜨거운안녕,낮,,250220_D5_올림픽대로_24p,,,,,,,,,,
17,250220_D6_동호대교_금호터널_약수역_24p,D-log,DS15(709),0:04:56,,,360,60p 프레임보간 작업필요,포핸즈_260225,낮,,250220_D6_동호대교_금호터널_약수역_24p,유튜브 업로드 완료,,,,,,,,,
18,250220_D8_동호대교_금호터널_약수역_상행_24p,D-log,DS15(709),0:04:56,,,360,60p 프레임보간 작업필요,,낮,,250220_D8_?????????_??????????_????????_??????_24p_h265,,,,,,,,,,
19,250220_D9_약수역_금호터널_동호대교_하행_24p,D-log,DS15(709),0:05:46,,,360,60p 프레임보간 작업필요,,밤,,250220_D8_동호대교_금호터널_약수역_상행_24p_nclc,,,,,,,,,,
20,250420_D2_양재천로_24p,709,트윈픽스(709),0:01:10,,,TOP,,"뜨거운안녕
얄미운사랑",낮,,250420_D2_양재천로_24p,,,,,,,,,,
21,250612 N1_경부고속도로_60p,D-log,DS15(D-log),0:15:41,"도로_01_0:00~03:20:00 (RT:3m20s)

도로_02_03:20:00~06:40:00 (RT:3m20s)
250612 N02_경부고속도로_60p

도로_03_06:40:00~09:00:00 (RT:3m20s)
도로_04_09:00:00~12:20:00 (RT:3m20s)
도로_05_12:20:00~15:51:00 (RT:3m31s)
도로_06_20:16:06~23:26:06 (RT:3m10s)
도로_07_23:26:06~26:36:06 (RT:3m10s)
도로_08_26:36:06~29:46:06 (RT:3m10s)
도로_09_29:46:06~32:56:06 (RT:3m10s)
도로_10_32:56:06~36:04:04 (RT:3m07s)

터널_01_16:51:06~20:16:06 (RT:3m24s)
250612 N11_경부고속도로터널_60p

터널_02_36:04:04~40:48:16 (RT:4m44s)",분할 편집 원본,360,"24p>60p 프레임보간 작업
21분길이
17~18분에 터널","프로보노
은밀한감사",밤,,250612_N1_경부고속도로_60p,1,,,,,,,,,
,250612 N02_경부고속도로_60p,D-log,DS15(D-log),,도로_02_03:20:00~06:40:00 (RT:3m20s),편집 완료,,,,,,,2,,,,,,,,,
,250612 N11_경부고속도로_터널_60p,D-log,DS15(D-log),,터널_01_16:51:06~20:16:06 (RT:3m24s),편집 완료,,,,,,,3,,,,,,,,,
22,250612_D_강변북로_24p,D-log,DS15(D-log),0:21:45,"강변북로_01_0:00~03:00 (RT : 3m)
250612_D01_강변북로_24p

강변북로_02_03:00~06:00 (RT : 3m)
250612_D04_강변북로_정체_24p

강변북로_03_06:00~09:00 (RT : 3m)

강변북로_04_09:00~12:00 (RT : 3m)
250612_D04_강변북로_정체_24p

강변북로_05_12:00~15:40:21 (RT : 3m43s)",분할 편집 원본,360,15분 길이,"은밀한감사
얄미운사랑",낮,,250612_D_강변북로_24p,4,,,,,,,,,
,250612_D01_강변북로_24p,D-log,,,강변북로_01_0:00~03:00 (RT : 3m),편집 완료,,,,,,,5,,,,,,,,,
,250612_D02_강변북로_정체_24p,D-log,DS15(D-log),,강변북로_02_03:00~06:00 (RT : 3m),편집 완료,,,,,,,6,,,,,,,,,
,250612_D04_강변북로_정체_24p,D-log,DS15(D-log),,강변북로_04_09:00~12:00 (RT : 3m),편집 완료,,,,,,,7,,,,,,,,,
23,250612_N2_명동_광화문_경복궁_24p_de,D-log,DS15(D-log),0:21:20,"직선_01_0:00~01:21:03 (RT:1m20s)
250612_N2_명동

직선_02_3:45:19~4:47:18 (RT: 1m01s)
250612_N3_광화문

광화문_01_4:53:13~06:02:18 (RT: 1m09s)
광화문_02_06:33:22~08:32:15 (RT: 1m59s)
광화문_03_12:01:14~13:22:16 (RT: 1m21s)

광화문_04_14:11:10~17:46:02 (RT: 3m34s)
250612_N4_명동_광화문_경복궁_24p_de

광화문_05_18:01:12~19:02:03 (RT: 1m)
광화문_06_29:02:11~21:20:00 (RT: 1m17s)강변북로_01_0:00~03:00 (RT : 3m)
250612_D1_강변북로_24p
",분할 편집 원본,360,"00:30~30초 직선구간
03:06~03:37 광화문","프로보노
뜨거운안녕
최애의 사원",밤,,250612_N2_명동_광화문_경복궁_24p,8,,,,,,,,,
,250612_N02_명동_24p,D-log,DS15(D-log),,직선_01_0:00~01:21:03 (RT:1m20s,편집 완료,,,,,,,9,,,,,,,,,
,250612_N03_광화문_24p,D-log,DS15(D-log),,직선_02_3:45:19~4:47:18 (RT: 1m01s),편집 완료,,,,,,,10,,,,,,,,,
,250612_N04_경복궁_24p,D-log,DS15(D-log),,광화문_04_14:11:10~17:46:02 (RT: 3m34s),렌더링,,,,,,,11,,,,,,,,,
24,250704_N2_경복궁_60p_de,,DS15(D-log),0:01:10,,,360,250612_N2_명동-경복궁_24p_de_nclc에서 경복궁 구간 1분만 60작업 진행,"뜨거운안녕
포핸즈_260225",밤,,250704_N2_경복궁_60p,,,,,,,,,,
25,250821_D2_울진 후포리 산길_60p,D-log,DS13(D-log),0:10:03,"울진_01_0:00~04:06:08 (RT: 4m6s)
250821_D2

울진_02_06:06:15~10:02:09 (RT: 3m55s)
250821_D2",분할 편집 원본,360,,취사병,낮,,250821_D2_울진 후포리 산길_60p,12,,,,,,,,,
,250821_D02_울진 후포리 산길_60p,D-log,DS13(D-log),,울진_01_0:00~04:06:08 (RT: 4m6s),편집 완료,,,,,,,13,,,,,,,,,
,250821_D03_울진 후포리 산길_60p,D-log,DS13(D-log),,울진_02_06:06:15~10:02:09 (RT: 3m55s),렌더링,,,,,,,14,,,,,,,,,
26,250821_D3_울진 후포리 산길_60p,D-log,DS13(D-log),0:10:04,"울진_01_0:00:00~03:46:02 (RT: 3m46s)
울진_02_0:03:46:02~08:08:17 (RT: 4m22s)",분할 편집 원본,360,,,낮,,250821_D3_울진 후포리 산길_60p,15,,,,,,,,,
,250821_D04_울진 후포리 산길_60p,D-log,DS13(D-log),,울진_01_0:00:00~03:46:02 (RT: 3m46s),렌더링,,,,,,,16,,,,,,,,,
,250821_D05_울진 후포리 산길_60p,D-log,DS13(D-log),,울진_02_0:03:46:02~08:08:17 (RT: 4m22s),렌더링,,,,,,,17,,,,,,,,,
27,250821_D3_정동진 해안도로_60p,D-log,DS13(D-log),0:03:28,,,360,,취사병,낮,,250821_D3_정동진 해안도로_60p,,,,,,,,,,
28,250821_D5_정동진 해안도로_60p,D-log,DS13(D-log),0:10:33,"정동진_01_0:00~03:10 (RT: 3m10s)
250821_D5_정동진 해안도로_60p

정동진_02_03:10~07:43 (RT: 다시 계산필요)
250821_D6_정동진 해안도로_60p

정동진_03_06:20~10:04:13 (RT: 3m44s)
",분할 편집 원본,360,,취사병,낮,,250821_D5_정동진 해안도로_60p,18,,,,,,,,,
,250821_D06_정동진 해안도로_60p,D-log,,,정동진_01_0:00~03:10 (RT: 3m10s),편집 완료,,,,,,,19,,,,,,,,,
,250821_D07_정동진 해안도로_60p,D-log,,,정동진_02_03:10~07:43 (RT: 다시 계산필요),편집 완료,,,,,,,20,,,,,,,,,
,,D-log,,,,,,,,,,,,,,,,,,,,
29,250929_D1 인천 연수구 8차선_고가도로_60p,D-log,DS13(D-log),0:08:45,"인천 연수구_01_03:11:09~04:57:07 (RT: 1m45s)
인천 연수구_02_06:00:16~08:44:23 (RT: 2m44s)",분할 편집 원본,360,,세대유감,낮,,250929_D1 인천 연수구 8차선_고가도로_60p,21,,,,,,,,,
,250929_D01 인천 연수구 8차선_60p,D-log,DS13(D-log),,인천 연수구_01_03:11:09~04:57:07 (RT: 1m45s),편집 완료,,,,,,,22,,,,,,,,,
,250929_D02 인천 연수구 8차선_고가도로_60p,D-log,DS13(D-log),,인천 연수구_02_06:00:16~08:44:23 (RT: 2m44s),편집 완료,,,,,,,23,,,,,,,,,
,250929_D101 인천 연수구 8차선_고가도로_60p,D-log,,,인천 연수구_01_03:11:09~04:57:07 (RT: 1m45s),,,,,,,,,,,,,,,,,
,250929_D102 인천 연수구 8차선_고가도로_60p,D-log,,,인천 연수구_02_06:00:16~08:44:23 (RT: 2m44s),,,,,,,,,,,,,,,,,
30,250929_D2_인천_남북로 시골길_60p,D-log,DS13(D-log),0:03:01,,,360,,세대유감,낮,,250929_D2_인천_남북로 시골길_60p,,,,,,,,,,
31,250929_D3_인천 공항서로_60p,D-log,DS13(D-log),0:06:31,"인천공항서로_01_0:00~03:29:23 (RT: 3m30s)
인천공항서로_02_03:30~06:31:03 )RT: 3m1s) ",분할 편집 원본,360,,세대유감,낮,,250929_D3_인천 공항서로_60p,24,,,,,,,,,
,250929_D03_인천 공항서로_60p,D-log,DS13(D-log),,인천공항서로_01_0:00~03:29:23 (RT: 3m30s,편집 완료,,,,,,,25,,,,,,,,,
,250929_D04_인천 공항서로_60p,D-log,DS13(D-log),,인천공항서로_02_03:30~06:31:03 )RT: 3m1s) ,편집 완료,,,,,,,26,,,,,,,,,
32,251020_N01_합정역 코너 양화대교 진입_24p,V-log,덱스터(V-log),0:00:55,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,세대유감,밤,1,251020_N01_합정역 코너 양화대교 진입_24pV-Log to V-709_multiview.,버라이어티 방영이후 유튜브 공개,,,,,,,,,
33,251020_N03_양화대교 하행_24p,V-log,덱스터(V-log),0:02:20,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,버라이어티,밤,2,251020_N03_양화대교 하행_24pV-Log to V-709_multiview.,버라이어티 방영이후 유튜브 공개,,,,,,,,,
34,251020_N04_양화대교 상행_24p,V-log,덱스터(V-log),0:02:08,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,버라이어티,밤,,251020_N04_양화대교 상행_24pV-Log to V-709_multiview.,,,,,,,,,,
35,251020_N10_마포구청역-합정역_24p,V-log,덱스터(V-log),0:01:58,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,"버라이어티
포핸즈_260225",밤,,251020_N10_마포구청역-합정역_24pV-Log to V-709_multiview.,,,,,,,,,,
